@relation class
@attribute h1_dst_bytes real
@attribute h1_dst_flow real
@attribute h1_dst_pkt real
@attribute h1_src_bytes real
@attribute h1_src_flow real
@attribute h1_src_pkt real
@attribute h2_dst_bytes real
@attribute h2_dst_flow real
@attribute h2_dst_pkt real
@attribute h2_src_bytes real
@attribute h2_src_flow real
@attribute h2_src_pkt real
@attribute h3_dst_bytes real
@attribute h3_dst_flow real
@attribute h3_dst_pkt real
@attribute h3_src_bytes real
@attribute h3_src_flow real
@attribute h3_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h1_rx_bytes real
@attribute port_h1_rx_crc_err real
@attribute port_h1_rx_drop real
@attribute port_h1_rx_error real
@attribute port_h1_rx_frame_err real
@attribute port_h1_rx_over_err real
@attribute port_h1_rx_pkt real
@attribute port_h1_tx_bytes real
@attribute port_h1_tx_drop real
@attribute port_h1_tx_error real
@attribute port_h1_tx_pkt real
@attribute port_h2_rx_bytes real
@attribute port_h2_rx_crc_err real
@attribute port_h2_rx_drop real
@attribute port_h2_rx_error real
@attribute port_h2_rx_frame_err real
@attribute port_h2_rx_over_err real
@attribute port_h2_rx_pkt real
@attribute port_h2_tx_bytes real
@attribute port_h2_tx_drop real
@attribute port_h2_tx_error real
@attribute port_h2_tx_pkt real
@attribute port_h3_rx_bytes real
@attribute port_h3_rx_crc_err real
@attribute port_h3_rx_drop real
@attribute port_h3_rx_error real
@attribute port_h3_rx_frame_err real
@attribute port_h3_rx_over_err real
@attribute port_h3_rx_pkt real
@attribute port_h3_tx_bytes real
@attribute port_h3_tx_drop real
@attribute port_h3_tx_error real
@attribute port_h3_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
15340,0,209,8423,0,104,4725,0,63,3100,0,32,8662,0,126,8222,0,97,30377,0,0,0,0,0,416,21639,0,0,259,8423,0,0,0,0,0,104,17596,0,0,233,3100,0,0,0,0,0,32,7047,0,0,88,9542,0,0,0,0,0,117,10984,0,0,151,1,0,0,0,0,9,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8492,0,123,8265,1,99,30868,0,0,0,0,0,415,21798,0,0,260,8359,0,0,0,0,0,103,18367,0,0,234,3100,0,0,0,0,0,32,7949,0,0,91,9519,0,0,0,0,0,118,11782,0,0,152,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8454,0,123,7859,0,93,30229,0,0,0,0,0,409,21212,0,0,252,8386,0,0,0,0,0,103,17761,0,0,229,3100,0,0,0,0,0,32,7339,0,0,86,9113,0,0,0,0,0,112,11072,0,0,146,1,0,0,0,0,9,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8420,1,100,31719,0,0,0,0,0,424,22111,0,0,262,8345,0,0,0,0,0,103,19254,0,0,242,3100,0,0,0,0,0,32,8779,0,0,98,9678,0,0,0,0,0,119,12718,0,0,161,1,0,0,0,0,6,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8696,0,126,8337,0,100,30314,0,0,0,0,0,415,21437,0,0,257,8374,0,0,0,0,0,103,17417,0,0,231,3100,0,0,0,0,0,32,6999,0,0,88,9471,0,0,0,0,0,117,10970,0,0,151,0,0,0,0,0,0,0,"0"
15583,0,212,8605,0,106,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30287,0,0,0,0,0,420,21766,0,0,262,8675,0,0,0,0,0,107,17077,0,0,233,3100,0,0,0,0,0,32,6359,0,0,86,9608,0,0,0,0,0,118,10298,0,0,149,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29456,0,0,0,0,0,408,21288,0,0,257,8359,0,0,0,0,0,103,16509,0,0,225,3170,0,0,0,0,0,33,6021,0,0,81,9459,0,0,0,0,0,117,9990,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8734,0,127,8156,0,96,29581,0,0,0,0,0,410,21411,0,0,257,8386,0,0,0,0,0,103,16443,0,0,224,3100,0,0,0,0,0,32,6021,0,0,81,9542,0,0,0,0,0,117,9958,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8624,0,125,8337,1,100,29726,0,0,0,0,0,412,21419,0,0,259,8345,0,0,0,0,0,103,16554,0,0,226,3100,0,0,0,0,0,32,6149,0,0,83,9591,0,0,0,0,0,119,10120,0,0,146,0,0,0,0,0,0,0,"0"
15386,0,209,8374,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29733,0,0,0,0,0,412,21564,0,0,259,8556,0,0,0,0,0,105,16678,0,0,227,3100,0,0,0,0,0,32,6017,0,0,81,9608,0,0,0,0,0,118,9954,0,0,144,0,0,0,0,0,0,0,"0"
15340,0,209,8605,0,106,4725,0,63,3100,0,32,8696,0,126,8271,1,99,29853,0,0,0,0,0,414,21282,0,0,257,8423,0,0,0,0,0,104,16764,0,0,229,3100,0,0,0,0,0,32,6149,0,0,83,9459,0,0,0,0,0,117,10120,0,0,146,0,0,0,0,0,0,0,"0"
13070,2,178,7132,1,88,4614,2,61,3544,1,32,7480,2,109,6991,1,83,45404,0,0,0,0,0,544,26281,0,0,294,8316,0,0,0,0,0,103,38771,0,0,420,4974,0,0,0,0,0,50,30665,0,0,307,9161,0,0,0,0,0,113,33311,0,0,352,1,0,0,0,0,6,0,"0"
15128,0,206,8344,0,103,4875,0,65,3100,0,32,8696,0,126,8403,1,101,31631,0,0,0,0,0,428,22017,0,0,264,8414,0,0,0,0,0,104,19229,0,0,249,3170,0,0,0,0,0,33,8826,0,0,106,9661,0,0,0,0,0,120,12797,0,0,169,1,0,0,0,0,9,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8662,0,126,8156,0,96,29445,0,0,0,0,0,408,21409,0,0,257,8401,0,0,0,0,0,103,16390,0,0,223,3100,0,0,0,0,0,32,5951,0,0,80,9608,0,0,0,0,0,118,9888,0,0,143,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8558,0,124,8265,1,99,30949,0,0,0,0,0,421,21844,0,0,262,8423,0,0,0,0,0,104,18478,0,0,242,3100,0,0,0,0,0,32,7859,0,0,96,9589,0,0,0,0,0,119,11692,0,0,157,1,0,0,0,0,6,0,"0"
15143,0,206,8359,0,103,4575,0,61,3100,0,32,8322,0,121,7859,0,93,29981,0,0,0,0,0,413,21215,0,0,255,8429,0,0,0,0,0,104,17407,0,0,234,3170,0,0,0,0,0,33,7059,0,0,92,9179,0,0,0,0,0,113,10722,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4875,0,65,3100,0,32,8800,0,128,8420,1,100,30744,0,0,0,0,0,421,21824,0,0,261,8542,0,0,0,0,0,105,17891,0,0,237,3100,0,0,0,0,0,32,7245,0,0,91,9608,0,0,0,0,0,118,11254,0,0,155,1,0,0,0,0,9,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29698,0,0,0,0,0,409,21191,0,0,255,8344,0,0,0,0,0,103,16968,0,0,228,3017,0,0,0,0,0,31,6349,0,0,82,9393,0,0,0,0,0,116,10398,0,0,146,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4575,0,61,3100,0,32,8734,0,127,8288,0,98,30068,0,0,0,0,0,414,21686,0,0,260,8401,0,0,0,0,0,103,17218,0,0,231,3100,0,0,0,0,0,32,6709,0,0,87,9678,0,0,0,0,0,119,10718,0,0,151,1,0,0,0,0,3,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8624,0,125,8205,0,98,30344,0,0,0,0,0,415,21621,0,0,260,8493,0,0,0,0,0,105,17530,0,0,232,3100,0,0,0,0,0,32,7121,0,0,89,9525,0,0,0,0,0,118,10950,0,0,150,1,0,0,0,0,3,0,"0"
15143,0,206,8359,0,103,4875,0,65,3100,0,32,8734,0,127,8288,0,98,30045,0,0,0,0,0,414,21376,0,0,256,8359,0,0,0,0,0,103,17197,0,0,231,3170,0,0,0,0,0,33,6709,0,0,87,9410,0,0,0,0,0,115,10716,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4575,0,61,3100,0,32,8624,0,125,8337,1,100,29528,0,0,0,0,0,409,21311,0,0,257,8386,0,0,0,0,0,103,16439,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9525,0,0,0,0,0,118,9988,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29477,0,0,0,0,0,409,21287,0,0,256,8345,0,0,0,0,0,103,16422,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9542,0,0,0,0,0,117,9954,0,0,144,0,0,0,0,0,0,0,"0"
15386,0,209,8556,0,105,4725,0,63,3100,0,32,8696,0,126,8337,1,100,30244,0,0,0,0,0,416,21552,0,0,259,8556,0,0,0,0,0,105,17292,0,0,232,3100,0,0,0,0,0,32,6565,0,0,85,9459,0,0,0,0,0,117,10536,0,0,148,1,0,0,0,0,3,0,"0"
15340,0,209,8423,0,104,4725,0,63,3100,0,32,8662,0,126,8222,0,97,30377,0,0,0,0,0,416,21639,0,0,259,8423,0,0,0,0,0,104,17596,0,0,233,3100,0,0,0,0,0,32,7047,0,0,88,9542,0,0,0,0,0,117,10984,0,0,151,1,0,0,0,0,9,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8492,0,123,8265,1,99,30868,0,0,0,0,0,415,21798,0,0,260,8359,0,0,0,0,0,103,18367,0,0,234,3100,0,0,0,0,0,32,7949,0,0,91,9519,0,0,0,0,0,118,11782,0,0,152,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8454,0,123,7859,0,93,30229,0,0,0,0,0,409,21212,0,0,252,8386,0,0,0,0,0,103,17761,0,0,229,3100,0,0,0,0,0,32,7339,0,0,86,9113,0,0,0,0,0,112,11072,0,0,146,1,0,0,0,0,9,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8420,1,100,31719,0,0,0,0,0,424,22111,0,0,262,8345,0,0,0,0,0,103,19254,0,0,242,3100,0,0,0,0,0,32,8779,0,0,98,9678,0,0,0,0,0,119,12718,0,0,161,1,0,0,0,0,6,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8696,0,126,8337,0,100,30314,0,0,0,0,0,415,21437,0,0,257,8374,0,0,0,0,0,103,17417,0,0,231,3100,0,0,0,0,0,32,6999,0,0,88,9471,0,0,0,0,0,117,10970,0,0,151,0,0,0,0,0,0,0,"0"
15583,0,212,8605,0,106,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30287,0,0,0,0,0,420,21766,0,0,262,8675,0,0,0,0,0,107,17077,0,0,233,3100,0,0,0,0,0,32,6359,0,0,86,9608,0,0,0,0,0,118,10298,0,0,149,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29456,0,0,0,0,0,408,21288,0,0,257,8359,0,0,0,0,0,103,16509,0,0,225,3170,0,0,0,0,0,33,6021,0,0,81,9459,0,0,0,0,0,117,9990,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8734,0,127,8156,0,96,29581,0,0,0,0,0,410,21411,0,0,257,8386,0,0,0,0,0,103,16443,0,0,224,3100,0,0,0,0,0,32,6021,0,0,81,9542,0,0,0,0,0,117,9958,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8624,0,125,8337,1,100,29726,0,0,0,0,0,412,21419,0,0,259,8345,0,0,0,0,0,103,16554,0,0,226,3100,0,0,0,0,0,32,6149,0,0,83,9591,0,0,0,0,0,119,10120,0,0,146,0,0,0,0,0,0,0,"0"
15386,0,209,8374,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29733,0,0,0,0,0,412,21564,0,0,259,8556,0,0,0,0,0,105,16678,0,0,227,3100,0,0,0,0,0,32,6017,0,0,81,9608,0,0,0,0,0,118,9954,0,0,144,0,0,0,0,0,0,0,"0"
15340,0,209,8605,0,106,4725,0,63,3100,0,32,8696,0,126,8271,1,99,29853,0,0,0,0,0,414,21282,0,0,257,8423,0,0,0,0,0,104,16764,0,0,229,3100,0,0,0,0,0,32,6149,0,0,83,9459,0,0,0,0,0,117,10120,0,0,146,0,0,0,0,0,0,0,"0"
13070,2,178,7132,1,88,4614,2,61,3544,1,32,7480,2,109,6991,1,83,45404,0,0,0,0,0,544,26281,0,0,294,8316,0,0,0,0,0,103,38771,0,0,420,4974,0,0,0,0,0,50,30665,0,0,307,9161,0,0,0,0,0,113,33311,0,0,352,1,0,0,0,0,6,0,"0"
15128,0,206,8344,0,103,4875,0,65,3100,0,32,8696,0,126,8403,1,101,31631,0,0,0,0,0,428,22017,0,0,264,8414,0,0,0,0,0,104,19229,0,0,249,3170,0,0,0,0,0,33,8826,0,0,106,9661,0,0,0,0,0,120,12797,0,0,169,1,0,0,0,0,9,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8662,0,126,8156,0,96,29445,0,0,0,0,0,408,21409,0,0,257,8401,0,0,0,0,0,103,16390,0,0,223,3100,0,0,0,0,0,32,5951,0,0,80,9608,0,0,0,0,0,118,9888,0,0,143,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8558,0,124,8265,1,99,30949,0,0,0,0,0,421,21844,0,0,262,8423,0,0,0,0,0,104,18478,0,0,242,3100,0,0,0,0,0,32,7859,0,0,96,9589,0,0,0,0,0,119,11692,0,0,157,1,0,0,0,0,6,0,"0"
15143,0,206,8359,0,103,4575,0,61,3100,0,32,8322,0,121,7859,0,93,29981,0,0,0,0,0,413,21215,0,0,255,8429,0,0,0,0,0,104,17407,0,0,234,3170,0,0,0,0,0,33,7059,0,0,92,9179,0,0,0,0,0,113,10722,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4875,0,65,3100,0,32,8800,0,128,8420,1,100,30744,0,0,0,0,0,421,21824,0,0,261,8542,0,0,0,0,0,105,17891,0,0,237,3100,0,0,0,0,0,32,7245,0,0,91,9608,0,0,0,0,0,118,11254,0,0,155,1,0,0,0,0,9,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29698,0,0,0,0,0,409,21191,0,0,255,8344,0,0,0,0,0,103,16968,0,0,228,3017,0,0,0,0,0,31,6349,0,0,82,9393,0,0,0,0,0,116,10398,0,0,146,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4575,0,61,3100,0,32,8734,0,127,8288,0,98,30068,0,0,0,0,0,414,21686,0,0,260,8401,0,0,0,0,0,103,17218,0,0,231,3100,0,0,0,0,0,32,6709,0,0,87,9678,0,0,0,0,0,119,10718,0,0,151,1,0,0,0,0,3,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8624,0,125,8205,0,98,30344,0,0,0,0,0,415,21621,0,0,260,8493,0,0,0,0,0,105,17530,0,0,232,3100,0,0,0,0,0,32,7121,0,0,89,9525,0,0,0,0,0,118,10950,0,0,150,1,0,0,0,0,3,0,"0"
15143,0,206,8359,0,103,4875,0,65,3100,0,32,8734,0,127,8288,0,98,30045,0,0,0,0,0,414,21376,0,0,256,8359,0,0,0,0,0,103,17197,0,0,231,3170,0,0,0,0,0,33,6709,0,0,87,9410,0,0,0,0,0,115,10716,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4575,0,61,3100,0,32,8624,0,125,8337,1,100,29528,0,0,0,0,0,409,21311,0,0,257,8386,0,0,0,0,0,103,16439,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9525,0,0,0,0,0,118,9988,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29477,0,0,0,0,0,409,21287,0,0,256,8345,0,0,0,0,0,103,16422,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9542,0,0,0,0,0,117,9954,0,0,144,0,0,0,0,0,0,0,"0"
15386,0,209,8556,0,105,4725,0,63,3100,0,32,8696,0,126,8337,1,100,30244,0,0,0,0,0,416,21552,0,0,259,8556,0,0,0,0,0,105,17292,0,0,232,3100,0,0,0,0,0,32,6565,0,0,85,9459,0,0,0,0,0,117,10536,0,0,148,1,0,0,0,0,3,0,"0"
15340,0,209,8423,0,104,4725,0,63,3100,0,32,8662,0,126,8222,0,97,30377,0,0,0,0,0,416,21639,0,0,259,8423,0,0,0,0,0,104,17596,0,0,233,3100,0,0,0,0,0,32,7047,0,0,88,9542,0,0,0,0,0,117,10984,0,0,151,1,0,0,0,0,9,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8492,0,123,8265,1,99,30868,0,0,0,0,0,415,21798,0,0,260,8359,0,0,0,0,0,103,18367,0,0,234,3100,0,0,0,0,0,32,7949,0,0,91,9519,0,0,0,0,0,118,11782,0,0,152,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8454,0,123,7859,0,93,30229,0,0,0,0,0,409,21212,0,0,252,8386,0,0,0,0,0,103,17761,0,0,229,3100,0,0,0,0,0,32,7339,0,0,86,9113,0,0,0,0,0,112,11072,0,0,146,1,0,0,0,0,9,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8420,1,100,31719,0,0,0,0,0,424,22111,0,0,262,8345,0,0,0,0,0,103,19254,0,0,242,3100,0,0,0,0,0,32,8779,0,0,98,9678,0,0,0,0,0,119,12718,0,0,161,1,0,0,0,0,6,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8696,0,126,8337,0,100,30314,0,0,0,0,0,415,21437,0,0,257,8374,0,0,0,0,0,103,17417,0,0,231,3100,0,0,0,0,0,32,6999,0,0,88,9471,0,0,0,0,0,117,10970,0,0,151,0,0,0,0,0,0,0,"0"
15583,0,212,8605,0,106,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30287,0,0,0,0,0,420,21766,0,0,262,8675,0,0,0,0,0,107,17077,0,0,233,3100,0,0,0,0,0,32,6359,0,0,86,9608,0,0,0,0,0,118,10298,0,0,149,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29456,0,0,0,0,0,408,21288,0,0,257,8359,0,0,0,0,0,103,16509,0,0,225,3170,0,0,0,0,0,33,6021,0,0,81,9459,0,0,0,0,0,117,9990,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8734,0,127,8156,0,96,29581,0,0,0,0,0,410,21411,0,0,257,8386,0,0,0,0,0,103,16443,0,0,224,3100,0,0,0,0,0,32,6021,0,0,81,9542,0,0,0,0,0,117,9958,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8624,0,125,8337,1,100,29726,0,0,0,0,0,412,21419,0,0,259,8345,0,0,0,0,0,103,16554,0,0,226,3100,0,0,0,0,0,32,6149,0,0,83,9591,0,0,0,0,0,119,10120,0,0,146,0,0,0,0,0,0,0,"0"
15386,0,209,8374,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29733,0,0,0,0,0,412,21564,0,0,259,8556,0,0,0,0,0,105,16678,0,0,227,3100,0,0,0,0,0,32,6017,0,0,81,9608,0,0,0,0,0,118,9954,0,0,144,0,0,0,0,0,0,0,"0"
15340,0,209,8605,0,106,4725,0,63,3100,0,32,8696,0,126,8271,1,99,29853,0,0,0,0,0,414,21282,0,0,257,8423,0,0,0,0,0,104,16764,0,0,229,3100,0,0,0,0,0,32,6149,0,0,83,9459,0,0,0,0,0,117,10120,0,0,146,0,0,0,0,0,0,0,"0"
13070,2,178,7132,1,88,4614,2,61,3544,1,32,7480,2,109,6991,1,83,45404,0,0,0,0,0,544,26281,0,0,294,8316,0,0,0,0,0,103,38771,0,0,420,4974,0,0,0,0,0,50,30665,0,0,307,9161,0,0,0,0,0,113,33311,0,0,352,1,0,0,0,0,6,0,"0"
15128,0,206,8344,0,103,4875,0,65,3100,0,32,8696,0,126,8403,1,101,31631,0,0,0,0,0,428,22017,0,0,264,8414,0,0,0,0,0,104,19229,0,0,249,3170,0,0,0,0,0,33,8826,0,0,106,9661,0,0,0,0,0,120,12797,0,0,169,1,0,0,0,0,9,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8662,0,126,8156,0,96,29445,0,0,0,0,0,408,21409,0,0,257,8401,0,0,0,0,0,103,16390,0,0,223,3100,0,0,0,0,0,32,5951,0,0,80,9608,0,0,0,0,0,118,9888,0,0,143,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8558,0,124,8265,1,99,30949,0,0,0,0,0,421,21844,0,0,262,8423,0,0,0,0,0,104,18478,0,0,242,3100,0,0,0,0,0,32,7859,0,0,96,9589,0,0,0,0,0,119,11692,0,0,157,1,0,0,0,0,6,0,"0"
15143,0,206,8359,0,103,4575,0,61,3100,0,32,8322,0,121,7859,0,93,29981,0,0,0,0,0,413,21215,0,0,255,8429,0,0,0,0,0,104,17407,0,0,234,3170,0,0,0,0,0,33,7059,0,0,92,9179,0,0,0,0,0,113,10722,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4875,0,65,3100,0,32,8800,0,128,8420,1,100,30744,0,0,0,0,0,421,21824,0,0,261,8542,0,0,0,0,0,105,17891,0,0,237,3100,0,0,0,0,0,32,7245,0,0,91,9608,0,0,0,0,0,118,11254,0,0,155,1,0,0,0,0,9,0,"0"
15418,0,210,8500,0,105,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29698,0,0,0,0,0,409,21191,0,0,255,8344,0,0,0,0,0,103,16968,0,0,228,3017,0,0,0,0,0,31,6349,0,0,82,9393,0,0,0,0,0,116,10398,0,0,146,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4575,0,61,3100,0,32,8734,0,127,8288,0,98,30068,0,0,0,0,0,414,21686,0,0,260,8401,0,0,0,0,0,103,17218,0,0,231,3100,0,0,0,0,0,32,6709,0,0,87,9678,0,0,0,0,0,119,10718,0,0,151,1,0,0,0,0,3,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,8624,0,125,8205,0,98,30344,0,0,0,0,0,415,21621,0,0,260,8493,0,0,0,0,0,105,17530,0,0,232,3100,0,0,0,0,0,32,7121,0,0,89,9525,0,0,0,0,0,118,10950,0,0,150,1,0,0,0,0,3,0,"0"
15143,0,206,8359,0,103,4875,0,65,3100,0,32,8734,0,127,8288,0,98,30045,0,0,0,0,0,414,21376,0,0,256,8359,0,0,0,0,0,103,17197,0,0,231,3170,0,0,0,0,0,33,6709,0,0,87,9410,0,0,0,0,0,115,10716,0,0,151,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4575,0,61,3100,0,32,8624,0,125,8337,1,100,29528,0,0,0,0,0,409,21311,0,0,257,8386,0,0,0,0,0,103,16439,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9525,0,0,0,0,0,118,9988,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29477,0,0,0,0,0,409,21287,0,0,256,8345,0,0,0,0,0,103,16422,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9542,0,0,0,0,0,117,9954,0,0,144,0,0,0,0,0,0,0,"0"
15386,0,209,8556,0,105,4725,0,63,3100,0,32,8696,0,126,8337,1,100,30244,0,0,0,0,0,416,21552,0,0,259,8556,0,0,0,0,0,105,17292,0,0,232,3100,0,0,0,0,0,32,6565,0,0,85,9459,0,0,0,0,0,117,10536,0,0,148,1,0,0,0,0,3,0,"0"
15340,0,209,8423,0,104,4725,0,63,3100,0,32,8662,0,126,8222,0,97,30377,0,0,0,0,0,416,21639,0,0,259,8423,0,0,0,0,0,104,17596,0,0,233,3100,0,0,0,0,0,32,7047,0,0,88,9542,0,0,0,0,0,117,10984,0,0,151,1,0,0,0,0,9,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8492,0,123,8265,1,99,30868,0,0,0,0,0,415,21798,0,0,260,8359,0,0,0,0,0,103,18367,0,0,234,3100,0,0,0,0,0,32,7949,0,0,91,9519,0,0,0,0,0,118,11782,0,0,152,1,0,0,0,0,3,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8454,0,123,7859,0,93,30229,0,0,0,0,0,409,21212,0,0,252,8386,0,0,0,0,0,103,17761,0,0,229,3100,0,0,0,0,0,32,7339,0,0,86,9113,0,0,0,0,0,112,11072,0,0,146,1,0,0,0,0,9,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8420,1,100,31719,0,0,0,0,0,424,22111,0,0,262,8345,0,0,0,0,0,103,19254,0,0,242,3100,0,0,0,0,0,32,8779,0,0,98,9678,0,0,0,0,0,119,12718,0,0,161,1,0,0,0,0,6,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8696,0,126,8337,0,100,30314,0,0,0,0,0,415,21437,0,0,257,8374,0,0,0,0,0,103,17417,0,0,231,3100,0,0,0,0,0,32,6999,0,0,88,9471,0,0,0,0,0,117,10970,0,0,151,0,0,0,0,0,0,0,"0"
15583,0,212,8605,0,106,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30287,0,0,0,0,0,420,21766,0,0,262,8675,0,0,0,0,0,107,17077,0,0,233,3100,0,0,0,0,0,32,6359,0,0,86,9608,0,0,0,0,0,118,10298,0,0,149,0,0,0,0,0,0,0,"0"
15143,0,206,8359,0,103,4725,0,63,3100,0,32,8624,0,125,8337,0,100,29456,0,0,0,0,0,408,21288,0,0,257,8359,0,0,0,0,0,103,16509,0,0,225,3170,0,0,0,0,0,33,6021,0,0,81,9459,0,0,0,0,0,117,9990,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8734,0,127,8156,0,96,29581,0,0,0,0,0,410,21411,0,0,257,8386,0,0,0,0,0,103,16443,0,0,224,3100,0,0,0,0,0,32,6021,0,0,81,9542,0,0,0,0,0,117,9958,0,0,144,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8624,0,125,8337,1,100,29726,0,0,0,0,0,412,21419,0,0,259,8345,0,0,0,0,0,103,16554,0,0,226,3100,0,0,0,0,0,32,6149,0,0,83,9591,0,0,0,0,0,119,10120,0,0,146,0,0,0,0,0,0,0,"0"
15386,0,209,8374,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29733,0,0,0,0,0,412,21564,0,0,259,8556,0,0,0,0,0,105,16678,0,0,227,3100,0,0,0,0,0,32,6017,0,0,81,9608,0,0,0,0,0,118,9954,0,0,144,0,0,0,0,0,0,0,"0"
